product_name,rating,review
OtterBox Rugged Defender Series for iPhone 5/5s/SE - Hornet (Yellow/Black),5,my son has gone through so many cases but hey i guess it is better than him going through multiple phones he loves this case it has held up under his extreme wear and tear his only complaint is that the case is a little bit thick but i ve explained to him that it is necessary for it to be that way if he expects it to survive the shenanigans he subjects his phone to happy customer
Samsung SCH-i545 - Galaxy S4 16GB Android Smartphone - Verizon + GSM - Blue (Certified Refurbished),5,nice phone phone as described
Motorola Motorola Droid X Verizon Android Smart Phone,1,phone must have been caught in an eternal winter as this sucker was frozen more often than not so frustrating
"ALCATEL OneTouch Idol 3 Global Unlocked 4G LTE Smartphone, 5.5 HD IPS Display, 16GB (GSM - US Warranty)",5,i have a cricket wireless sim card and i was looking for a nice phone to use it in i have had several blu phones but they seem to be quirky never get upgraded to the latest operating system and their customer service is bad i discovered that this alcatel was a unlocked smartphone and gave it a try i was impressed as soon as i opened the box this phone has a 5 5 screen same as my old phone and felt great in my hands the reception is great and i usually get an lte signal out here in the corn fields the jbl speakers are outstanding they are placed in the front of the phone one at the top and the other at the bottom it is great hearing bass when streaming a movie the only problem with the speakers is that i can not get them turned down just one more notch the lowest setting is pretty loud and i have tried all the sound settings in the phone this is my only pet peeve the phone updated some alcatel settings as soon as i turned it on then updated its self to marshmallow right afterwards there is very little bloatware which is great you can add a mini sd card and you have a choice between leaving it as is or you can have the phone include the mini sd card into internal memory you can have 32gb plus what ever you add with a mini card i added a 32gb mini sd card so now i have 64gb of internal memory this phone also has nfc which can be used in many ways very few smartphone in this price range have nfc for the price and features this alcatel can not be beat
"Samsung Galaxy Ace 2 i8160 International Version No Warranty, Factory Unlocked (Black)",5,thanks for the speedy delivery this smart phone is excellent for the price and has many extras i really enjoy the voice command
"BlackBerry RCK71CW 9550 Unlocked Phone with Wi-Fi, Touch Screen, 3.2MP Camera and GPS - Unlocked Phone - US Warranty - Black",5,it was what i was expecting the phone was brand new the connection was fine in panama panama and great
HTC 8X 8GB Unlocked GSM 4G LTE Dual-Core Windows 8 Smartphone - Lime Yellow - AT&T - No Warranty,5,i love it my cellophone what more can i say its amazing
Apple iPhone 4 16GB (Black) - AT&T,4,it was fast and the shipping was minutes after i made the delicious to buy the phone i was needing any phone cause i lost mine phone
Samsung Galaxy Grand Prime Dual Sim Factory Unlocked Phone White Blanco,4,the phone is great but the charger adaptors are weird it came with two of them but neither one worked for me
Apple iPhone 6 Plus 128GB Factory Unlocked GSM 4G LTE Cell Phone - Gold,5,so great thanks a lot
"Apple iPhone 5 Unlocked Cellphone, 32GB, White",1,the battery dies at random percentages not just when it reachs 1 and it dies way too quickly never holding a charge
"Nokia Lumia 1020 32GB Unlocked GSM Phone w/ 41MP Camera 4.5"" - White - International Version, No Warranty",1,i ordered the nokia lumia 1020 unlocked phone few days ago but to my surprise after 3 days my phone is dead i put it in charger but of no use i was very disappointed since i bought this phone knowing of its good camera and other specifications since its micro sd is not external i lost all the pictures i took really frustrated i am returning the phone
BLU Studio 5.0 Unlocked Dual Sim Phone--U.S. Warranty (Black),5,gr8 guys keep up the good work
Sony Xperia Z5 E6653 32GB 5.2-inch 4G LTE Factory Unlocked International Stock No Warranty (Pink),4,i have had the phone for 1 day now this is a quick review phone can go hot sometimes specially at set up when you are cramping all the apps and info from your other phone nothing crazy about overheating like the z3 or the m4 which runs very hot camera is great even at night on manual mode with some light obviously fingerprint sensor works well same as the iphone 6 sometimes you will have to place your finger correctly and retry but it works well and fast phone is very responsive and it comes with quick charger already the entire battery can charge in about 1hr and 15 min i do get get lte speeds t mobile on this phone mostly on band 4 in the nyc area however instead of showing lte is shows 4g but this might be a configuration issue since the phone apparently is from honk kong or taiwan or somewhere else in asia
LG Neon GT365 Prepaid GoPhone (AT&T),5,most times it s not too hard to find a wi fi hotspot when traveling but there are times when i ve been without access such as when visiting my mom where my only option is dial up but most wireless broadband options require a monthly fee which is way too much for me to pay since i need it so infrequently the pay as you go service from virgin is an excellent fit for needs such as mine for 10 you get 100mb of bandwidth which virgin estimates will cover about 5 hours of general web browsing but only about 25 min for data heavy tasks such as streaming a video the 10 lasts for 10 days or 100mb whichever comes first other options are 20 for 250mb 40 for 600 mb or 60 for 1gb the 20 and up refills last for 30 days so compared with a monthly plan you re paying a lot per mb but if you only need to use it when you re traveling it s a lot cheaper than a monthly plan installation is a snap just plug in the modem to a usb port and wait for the install routine to begin all the software is loaded on the modem so there s nothing to download once the software is installed takes about 3 min you go through an activation process that takes a couple more minutes and sets up your account the activation is a one time deal and allows you to put a credit card on file not mandatory however for ease of paying for access once activated you re ready to roll connection speeds were ok in my home ranged from 1 to 2 bars out of 4 on the speed meter moving closer to a window gave me better speed very acceptable for general web browsing and email but i probably would not be happy with the speed for data heavy apps but i just need email and general web services when traveling so no problems with speed if your account has a zero balance you get connected automatically with the virgin site where you can add money to the account so no need to call anyone to get access just log in select how much you want and pay for it all online once you ve paid you have full internet access you can also purchase top up cards like you can with their phone service should you not want to use a credit card it uses the sprint network so connection speed coverage will vary based on where you are this will also come in handy should my dsl line go down no need to pay a monthly bill to have a backup option for internet access my dsl via verizon has been very reliable but everything fails now and again the virgin system is cheap insurance that i ll always have access i also looked at the verizon pay as you go option but they wanted 15 for only one day of access the virgin options work better for me since it lasts for a minimum of 10 days unless you use your bandwith allotment sooner verizon does however have better coverage they use the exact same modem as virgin the modem also has the ability to act as a usb drive if you buy a micro sd card i did not so can t report how that works i ve read in reviews that it works ok but is farily slow for file transfers given how cheap urb drives are i ll probably not use that feature of the modem very pleased
Apple iPhone 6 Plus 128GB Factory Unlocked GSM 4G LTE Cell Phone - Gold,5,excellent phone and excellent customer service from ragstorichs
Samsung Galaxy Grand Prime Dual Sim Factory Unlocked Phone - Retail Packaging - Gold(International Version),2,this is not what i thought this phone was like i am sending it back for refund i don t really meet my expectation
Blu Dash JR D141W Dual Sim Factory Unlocked Android Smartphone,1,i cannot make the phone recognize an added sd card i have tried everything i can t download or do anything at all due to the minuscule internal storage
"Blackberry Torch 9800 Unlocked Phone with 5 MP Camera, Full QWERTY Keyboard and 4 GB Internal Storage - Unlocked Phone - No Warranty - Black",5,tremendous capacity very good phone if noto foulbrood resection is little signal if not for the area in venezuela aca crazy but thank the incredible tennologia
"BlackBerry 9780 Bold locked Smartphone with 5 MP Camera, Bluetooth, 3G, Wi-Fi, and MicroSd Slot --T-Mobile Version with no Warranty (white)",3,everything would be alright if it wasn t for the battery charger doesn t belong to this phone for real i can t use it to charger my phone for the rest is ok
HTC One M8 - Factory Unlocked 32GB - US Warranty (Glacial Silver),1,i sent it to my mother in india she complains stating phone is becoming warm when she talks over the phone even for 5 minutes i am not at all satisfied with the phone
"LG Optimus Factory Unlocked Gsm Android Phone L7 P705, Black",5,excelente celular trae espa ol llego perfecto lo recomiendo
Verizon Wireless 4G LTE MICRO SIM Card 3FF - Brand New and Unused,1,card was not unused could not use it
Nokia N9 Unlocked GSM Phone with 64 GB Internal Memory--International Version (Black),5,nokia n9 is a great phone that simply arrived at the wrong place in the wrong time if you re looking at a lasting relationship it needs to be based on unconditional love ok good it s an easy phone to fall in love with but you d better be the monogamous type too
"Posh Mobile Memo S580a - 5.8"" Display, 4G H+ GSM Unlocked Smartphone - 1 Year USA Warranty - Black",5,a great phablet with a huge screen that is about the same size as the samsung note 3 at a fraction of the price great for watching movies especially is you expand the memory with a microsd card the specs say that is supports up to 32gb microsd but a 64gb should work fine as well
BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- Global GSM Unlocked - Grey,4,i have to admit after reading some of the reviews i was a little nervous buying this phone but after having it for a week now i am very happy with it moving from iphone 4 to this phone has been a smooth move have no problems download any apps i am using it jamaica with digicel and its all good
Motorola Droid RAZR MAXX XT912 M Verizon Smartphone (Black/Grey) 4.3 Inches AMOLED Screen,5,this phone has a mini hdmi port plus a charging port great for watching sports on tv while away from home plug the phone into the hdmi slot on the tv and plug it in to the wall power its like a mini cable box what ever is on the phone screen will be mirrored on the tv
"Sony Xperia sola MT27i-BLK Unlocked Phone with 5 MP Camera, Android 2.3 OS, 1 GHz Dual-Core Processor, and 3.7-Inch Touchscreen--U.S. Warranty (Black)",4,this is my first smart phone so i can t really compare it to another smart phone but based on my own subjective experience i would have to say it is a pretty good phone it s small but sufficient for my own personal use i m not on the thing all day long and don t require a bigger screen but i can see how a bigger screen might be better for some i should add though that the resolution is very good and videos come in bright and clear as well as pictures i use the mp3 function quite a bit and this works fine sound quality is good but i am looking to invest in a nice set of earphones battery life could be better but it is a small phone and small phones have small batteries you get what you pay for here overall i would say that i m happy with my purchase phone functions the way it should and i haven t had any problems with it
HTC EVO Design SL892 Android Phone (BOOST MOBILE) Evo Design 4G by HTC (Boost)‎,5,excellent phone have had no problems with it
LG G2 D800 32GB Unlocked GSM 4G LTE 2.26 GHz Quad-Core Android Smartphone with 13 MP Camera (White),3,i live in venezuela and i want to update my os wich is 4 2 kit kat but is asking to registre the phone i need to register in lg or at t
"BLU Studio 6.0 Unlocked Cellphone, Black",1,losing network and data connection all times
Google White Nexus 4 Phone Limited Edition 8gb - Unlocked,5,the product was really well preserved and the cover provided was just awesome great communication as well thank you very much
"NEW Lg Optimus G Pro Black 16gb E988 5.5"" 13mp 3g 4g LTE ; Factory Unlocked - International Version No Warranty",2,great phone however do not buy this phone if you ever want a software update i just received the new lg smart watch and cannot link it to my phone because no software updates it would be great if amazon made sure we could get software updates on the products they sell plus i ordered an e988 and received a e986 do not buy this great phone that will never get support
Motorola Droid RAZR 4G LTE Android Smartphone Verizon (black),1,this phone is worse than the one that it replaced i hate it it is not worth the money that i paid for it
"Casio GzOne C731 Rock, Black (Verizon Wireless) CDMA. - No Contract Required.",1,this phone activated and then started to have problems the next day it would not aquire service while my old one did this was the first and last time i will purchase thru amazon
Samsung S5830 Galaxy Ace - Unlocked Phone - Black,1,this phone just have 3 three languages installed english french and chinese i need this phone with the language in spanish
BLU Studio Selfie 2 - GSM Unlocked Smartphone - Gold,4,now this was a nice phone before the changing or system stop taking a charge i sent it back a week ago to exchange for another one but the refund has not yet posted on my gift card account i will order another soon as it does
"Apple iPhone 6 Plus 128GB Factory Unlocked GSM 4G LTE Smartphone, Space Gray (Certified Refurbished)",5,great phone just like new
HTC Desire 610 8GB Unlocked GSM 4G LTE Quad-Core Android Smartphone,1,worst phone i ve seen having problems with touch screen and sometimes won t work at all
Motorola Droid 3 Verizon Xt862 Verizon Cell Phone,1,didnt like how beat up it looks but works good and otterbox covers over wear on phone
Apple iPhone 5s 16GB Verizon + Unlocked GSM 4G LTE Smartphone - Gold,2,my phone is defective i can hardly use it while it s charging the space button and send button are screwed up it s like a repeat of the iphone 4 except i paid 219 for this
"BLU Studio 5.0 HD LTE with 5-Inch HD Display, 13MP Camera, Android KitKat v4.4 and 4G LTE HSPA+ Unlocked Cell Phone- Black",5,fast response processor 4g can t beat the price
"[XMAS DEAL] Jethro [SC118] Simple Unlocked Quad-band GSM Senior & Kids Cell Phone, SOS Button, Easy to Use, Light Weight, Large Keyboard [New Firmware Edition]",3,it worked alright until i qccidetly pushed the silent button wich was not explained in miserable chinglish user guide then it completely stopped my incoming calls and icound not reset it
Lenovo P780 Quad-Core Dual Sim 4000mAh battery Long standby smartphone Phone,4,some really good features esp battery comes really long some nice tools to use some areas needs to improvement if u are upgrading from older phone its ok else some features r complex to operate
"Sony Xperia Z3 Compact D5803 16GB 4G LTE 4.6"" Unlocked GSM Android Smartphone - Black - International Version No Warranty",5,i love this phone truly better than my old samsung galaxy s3
Apple iPhone 6s 16GB US Warranty Unlocked Cellphone -(Gold),1,it dies very fast i even turn it off at night the brightness is down very low everything is like turned off and it dies so fast
Samsung Galaxy Note 3 N900 32GB Unlocked GSM 4G LTE Android Smartphone w/ S Pen Stylus - Black,1,the phone is not well unlocked sometimes the system becomes slow
HTC One M8 16GB 4G LTE Unlocked GSM Android Cell Phone - Glacial Silver,1,i had purchase the htc m8 international version from tj global ngp store usa and both of them had provided me a defective piece so had to return them both the display screen was pooping out now i have changed my mind to take any htc phones here after due to slim piece i prefer htc brand but it has made me chnage my mind to some other brand
"HTC DROID INCREDIBLE 2 Android Phone, Black (Verizon Wireless)",3,the phone worked great and almost as described and the screen was in great shape it was sold as used very good which stated that all phone functions work perfectly almost all of them did except the camera there was what appeared to be lint on the inside of the protective glass in front of the lens and the pictures came out very foggy they probably test the phones to make sure everything works but they need to add taking a photo to this list give me a phone that takes pictures like its supposed to and i d give 4 stars give me all that and not quite such deep gauges on the bezel and i ll give 5
"LG Xenon GR500 Unlocked Phone with QWERTY Keyboard, 2MP Camera, GPS and Touch Screen (Blue)",1,this is a simple phone but will not access the internet even as a phone it is cheap and hard to get to use not even wifi available on it not worth the money
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red,5,i wanted windows os and i had to decide between an htc 8x available with t mobile and an unlocked 920 that i could use with t mobile without switching to at t i bought the unlocked 920 i m playing with it for more then few weeks now and every time i touch this phone it simply doesn t stop to amaze me maybe 8x would have been good too same os but now i have a 920 and really love it video and picture quality are without any doubt the best i ve ever seen in any phone the interface is super smooth and totally responsive absolutely zero lag and zero hiccups and overall provides a very pleasant and refreshing experience the materials and the design give it a very nice solid non plastic ish feel combined best pictures on the market 808 pureview excluded best os by far nokia offline maps and a very solid hardware design make it the phone of my choice there is art in technology thank you nokia
"verykool s5510 Juno HSPA+ Factory Unlocked GSM Smartphone 5.5"" - Carrier Packaging - Black",4,very nice phone i recommended for anyone who wants to buy
Apple iPhone 6s 128 GB International Warranty Unlocked Cellphone - Retail Packaging (Gold),1,i can t activate my phone help me do that or give me the money back is definitely something wrong with this
Samsung S5830 Galaxy Ace - Unlocked Phone - Black,5,excelente telefono lleg a tiempo sin ninguna complicacion y hasta ahora a funcionado perfectamente aqui en venezuela con l nea movilnet
BLU Q170T Samba TV Unlocked Dual SIM Quad-Band GSM Phone (Black/Red),5,a present for my family they love it and works perfectly in a different country
JIAKE N9200 3G Smartphone 5.5 Inch MTK6580 1.3GHz Android 5.1 Dual Core 512MB+ 4GB Support Dual SIM Card (N9200-White),5,great purchase arrived quickly and as described would highly recommend
Motorola Droid RAZR MAXX 4G LTE Android Smartphone Verizon Black,2,the phone arrived in a beat up box as if it was used their was no booklet or information guide the phone was suppose to be new when i would make a call people would tell me your breaking up or i can t hear you the only good thing i could about this phone is that the battery did last long between charges
Samsung SGH-T989 Galaxy S II 16GB White Android Phone - T-Mobile,1,the phone had severe scratches and did not even turn on i do not recommend
Samsung Galaxy S3 SGH-i747 4G LTE GSM Unlocked 16GB No Warranty (White),4,screen came damaged i believe this is refurbished not new i have been using samsung phones since 1999 when i got my first one and they have always been top notch the screen has very thin lines going vertical on the screen when looking at the line it shimers such as a old non lcd tv screens used to there are over 2 dozen of these lines on the screen it affects the screen working as a touch screen i am quite pissed about it update april 2016 3 stars to 4 stars phone is still going strong i use straight talk now i eventually got used to the lines in the screen so it no longer bothers me it has been almost a year cons phone gets very hotbattery drains quicklylots of screen lag time 26 seconds to open text message screen pro works with straight talki have a cell phone dropping problem once a day and it has not broken very user friendly i actually know how to use it
BLU Studio Selfie - Smartphone - GSM Unlocked - Gold,4,works like a great smartphone but the keyboard can be a little testy front facing camera doesn t work as well as the back one when it comes to taking pictures at night with the flash all in all a pretty good product for the price
Apple iPhone 4 16GB (Black) - AT&T,4,it wasn t as described one of the speakers is blown
Sprint Kyocera DuraXT No Contract MIL-SPEC Rugged PTT 3MP Camera Cell Phone,5,i initially had trouble verifying with my cell phone company that this phone was available to add to my plan but the seller was extremely helpful and honest and was able to square everything away so that the phone is up and running for me great
BLU PURE XL Smartphone - 4G LTE GSM Unlocked - 64GB +3GB RAM - Gold,5,great phone for the price phone was better than i expected and it does have fast charge phone went from 8 percent to 72 percent in about thirty minutes i highly recommend this phone
Samsung - Galaxy Young 2 DUOS G130 Unlocked GSM Dual-SIM HSPA+ Phone - White,5,for people like me who s not really addited to cellphones and tecnology and thoses stuffs it s just great i love it
Glocalme G1S Global Unlocked Mobile Wi-Fi Hotspot Roaming-Free SIM-Free Support Over 108 Countries with 2GB Initial Global Data Equals 60EUR,4,updatethis device works well in china and hk i have no complaint the speed is usable for my ios devices the only negative is that the data packages now being offered are different to those offered at the outset there no longer appears to be a 3gb global package but there is one for hk and china combined at about 30while there are packages in asia combining certain countries there are no specific european packages meaning you have to buy a global package the global package is a single 1gb one and the price is now much higher than i paid before i guess the reason for this is that the manufacturer is china hk based the concept of this device is great a single device that works when you get off the plane anywhere in the world but it needs sensible pricing and right sized data packages and availability of the device seems very limited and i could not find it for sale in hk i d buy a g2 which is a 4g device that also accepts local sim cards if i could find one guess i will have to buy one in the usa when i get backi upped the rating to 4 i bought this item to replace an unlocked wifi device and a handful of sim s for both europe and asia my first experience was to use it in the usa by way of an initial test it connected ok to the network and provided data the speeds were very low and in my opinion not useable for normal email retrieval and web browsing was not usefuli ran quite a number of speedtests in a number of locations over a 2 3 week period in my home town i use att and can get impressive service on my cellphone but the best i got on the g1 was under 2 3mbs download and 1mb upload and the test reported using att as the carrier in las vegas the same situation with really low speeds i am sure that this is not a limitation of the hardware but rather that of the roaming terms with the various providers that the internal sim locks onto the unit itself is robust and quite chunky but not obtrusive its easy to use and seems to function just the performance is lackinghope i see better results when i am traveling further afield
"Motorola RAZR V3 Unlocked Phone with Camera, and Video Player--International Version with No Warranty (Black)",3,i bought a black unlocked razr through amazon which was shipped from tiger direct it works fine but it was a european version the ac charger plug was european with a us adapter in the menu personalize is spelled the english way personalise i hope there are no other differences in the software
OtterBox Defender Series Protective Case - Iphone 5/5S/5SE (Retail Packaging) - Hornet,5,i love otterbox products this is my third case they last way beyond the warrantee
Samsung T669 Gravity Touch Full Qwerty Keyboard T-mobile Cell Phone,2,phone would not charge my son has the identical phone and we like it could charge my battery in his phone but not in mine if it wasn t for this problem i would give it a good rating all i want the phone for is texting a phone calls my sons works great for that
Samsung Galaxy Note 3 N900A 32GB White - Unlocked,5,the real deal got this one brand new with accessories to replace my t mobile note 3 i broke couple of weeks cell is legit stay away from those ebay knockoffs talk bit about brand new but they come in bundle packages stay away from those cell phones made in taiwan no good they are replicas with bad service this cell the truth
OtterBox Samsung Galaxy S5 Defender Series Protective Case - White/Blue,4,stopped using because phone came unclipped sometimes
"Polaroid A4BK 4"" Unlocked Smartphone, No Contract, 4G HSPA+ Dual SIM GSM, Android 4.4 KitKat, One Year Warranty, Retail Packaging ,Black",5,like this phone but it doesn t hook upto my straighttalk service plan
"Blackberry 9650 Bold Unlocked GSM Smartphone with 3 MP Camera, Bluetooth, 3G, Wi-Fi, and MicroSd Slot (Black)",5,i am living in the caribbean and this phone works perfectly would recommend it actually i am planning on getting another one for my business good buy
"Samsung Galaxy Exhibit 4G (T-Mobile), t679",4,i just bought this phone in april and by august the phone shut down on me no good i would not recommend this phone to no one
Zte Maven Unlocked 4g Lte Quad Core Z812 5mp Flash 8gb Lollipop,4,overall ok cpu seems a little underpowered for lollipop i had to turn off all of the animations in the developer settings i d love to downgrade it to kitkat or install cyanogenmod on it but without the right rom for this exact hardware it s not possible i d like to root it to remove bloatware and to install more apps using link2sd to move them to the external card but every version of android makes it harder and harder to root i only bought this phone because sprint does not include the lg lucid 3 on their whitelist of approved cdma devices it does the job i guess my complaints are pretty nerdy and specific my only non nerdy complaint is that the charging port is on the side instead of the bottom almost every other phone has a charging port on the bottom or top
BLU Vivo Air LTE Factory Unlocked Phone - Retail Packaging - White,5,i have to say this phone does not look like the past blu phones that i have seen i just un boxed and i an charging it but first impressions is great very slim feels good in the hand very expensive looking and unbelievable build quality hats off to blu to be continued
Verizon LG enV2 VX9100 No Contract 3G Camera QWERTY MP3 Cell Phone Maroon,4,for 20 bucks shoot can t complain about that
Samsung Galaxy Note 3 N900A 32GB White - Unlocked,1,be aware do not purchase anything from this individual tried selling me a defective note 3 under the impression it was like new had the nerve to tell me it was like new im putting up pictures as well shystie individual dont trust this device it twisted
Samsung Korea SAMSUNG GALAXY S4 MINI GT-i9195 LTE 8GB- FACTORY UNLOCKED International Version - Unlocked Cell Phones - Retail Packaging - White(NO WARRANTY),4,i like it because it meets my use expectations and needs
"Samsung Galaxy S4 I337 16GB Unlocked GSM 4G LTE Smartphone, Arctic Blue w/ 13MP Camera",1,very disappointed with this phone i purchased i bought it in february and beginning in may the phone clarity began failing when i receive calls the person on the other end can t hear me clearly and i m told i fade in and out on my end the phone the phone calls become distorted too my return policy was one month and now i have to purchase another phone not the way to purchase a phone you need to go through your carrier
Apple iPhone 4 32GB (Black) - Verizon,5,great service all around very happy with my purchase
"BLU Studio 6.0 Unlocked Cellphone, Black",2,screen size brightness and color are good but the phone itself has too much lag even with only 1 app running camera quality is really bad can only get the focus right 4 out of 10 had to return it
BLU LIFE ONE X2 - 4G LTE Unlocked Smartphone - 16GB+2GB RAM - Grey,5,seems great for the price this phone replaces my galaxy core prime which basically could not multi task a big reason i got the x2 was to use t mobile s band 12 lte seems to work so far at least for data the phone works well enough to play pok mon go with only mild stuttering in some menus the extra memory really helps with multitasking i have no problems there overall it s not as smooth as my iphone but you really can t compare the 2 devices the iphone is in another league when it comes to both performance and price i m also used to the weight of my iphone 6s plus so the weight of the x2 is nothing of concern the major drawback is the lack of peripherals like good cases and tempered glass screen protectors thankfully a basic case and film screen protector are included with the phone
"Blackberry 9320 Curve Unlocked GSM Quad-Band Smartphone with 3.2 MP Camera, Wi-Fi, GPS and 7.1 Blackberry OS - No Warranty - Black",5,initially i was hesitant over buying phone online since this was first time i was buying phone which they say is unlocked for my usage with existing at t us account but the item arrived with unlock code printed on it which worked good enough so i got it unlocked as they say it phone condition is also excellent it looks just brand new works well trust these guys tailwind international they are awesome also they reply to your questions well in good time
LG G Vista 4G Unlocked 4G LTE Android 8MP Camera Smartphone w/ Quad-Core CPU - Black,5,beautiful phone well worth the asking price and more
BLU Studio 5.0 C HD - Unlocked Cell Phones - Retail Packaging - Blue,4,i dropped my iphone in water and needed a new smartphone this is really great it runs on an android system which i m not at all used to but it s really efficient and a high quality phone for a great price
BLU Life Pure Unlocked Phone (Black),3,the only problem i encountered with this product is that the battery gets really hot while being charged and also that it doesn t retain the charge for at least a day even with less than moderate use
Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,5,above and beyond my expectation both on product and service
Samsung Galaxy Note 3 N900V 32GB Unlocked GSM 4G LTE Quad-Core Smartphone - Black,4,i love these phones one phone is perfect with only one corner with a mark on it the other phone on the other hand is beat up so badly there is very little chrome left on the edges of the phone both phones do work perfectly so i cant really complain i just ordered a case to cover up the badly damaged edges and it is all good
Samsung Galaxy Note I717 16GB 4G LTE GSM Android Phone - Carbon Blue (AT&T version),5,totally satisfied with my order the package arrived almost instantly and the product was up to my highest expectation i am very glad to have such an amazing product as samsung galaxy note in addition to my other gadgets the note is very handy while traveling by plane not bulky and the screen wide enough to watch even movies recommend
"POSH MOBILE ULTRA MAX 4G LTE ANDROID GSM UNLOCKED DUAL SIM 5.5"" HD SMARTPHONE, PLUS-sized HD display, 8MP Camera and 16GB of Storage. 1 Year warranty. (L550 BLACK)",3,phone speed isn t as fast as they claimed
"OnePlus Two 64GB Black, Unlocked Smartphone - International Stock, No Warranty",2,the cellphone was not as good as i thought fingerprint lock doesn t work and when i open whatsapp sometimes adv appears
OtterBox Defender Series Case for Apple iPhone 6 Plus - Ink Blot,1,just like the other reviews the case didn t fit and the screen was above the real screen it was sooo annoying i went a different direction
Samsung Galaxy S4 I545 16GB Verizon Wireless + GSM Quad-Core Android Smartphone w/ 13MP Camera - White,5,very nice phone and i got it fast only thing its a verizon phone and i m with family mobile with is a t mobile network so i can t go on the internet but everything else is great
Samsung Infuse I997 4G 16GB Unlocked GSM Android Smartphone w/ 8MP Camera - Black,5,great phone for the price does everything we need it to do and more looks just like a g3 to me and it s running android so i am really happy with it
"Posh Mobile TITAN Max HD Unlocked Android Dual Sim GSM 6.0"" Extra Large HD Phablet Phone, 8.9mm Slim Design, 13MP Camera and 8GB of Storage. (1 Year Warranty) (International and Domestic use)",1,do not buy it the rear camera is not a 13mp camera this camera rating is somewhere around 5mp
"PalmOne Treo 650 Unlocked Phone with MP3/Video Player, and SD/MMC--U.S. Version with Warranty (Silver)",5,it may not be the latest version of the treo family we bought ours used but the treo 650 is a great phone to be sure palms have generally always been good devices and this is certainly no exception
